NAPR,PERIOD,STRANA,TNVED,EDIZM,STOIM,NETTO,KOL,REGION,REGION_S
ИМ,2013,BM,2208,Л 100% СПИРТА,558.86,77.28,17.28,40000 - ГОРОД САНКТ-ПЕТЕРБУРГ ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,02-СЕВЕРО-ЗАПАДНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ИМ,2014,BM,2208,Л 100% СПИРТА,201.98,30.06,6.72,07000 - СТАВРОПОЛЬСКИЙ КРАЙ,08-СЕВЕРО-КАВКАЗСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ИМ,2014,BM,8708,,12.73,0.31,0,45000 - ГОРОД МОСКВА СТОЛИЦА РОССИЙСКОЙ ФЕДЕРАЦИИ ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,01-ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ИМ,2015,BM,2208,Л 100% СПИРТА,130.58,20.4,3.84,75000 - ЧЕЛЯБИНСКАЯ ОБЛАСТЬ,05-УРАЛЬСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ИМ,2013,BM,2208,Л 100% СПИРТА,3042.93,413.26,101.28,22000 - НИЖЕГОРОДСКАЯ ОБЛАСТЬ,04-ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ИМ,2013,BM,8609,ШТ,16715.35,12065,4,45000 - ГОРОД МОСКВА СТОЛИЦА РОССИЙСКОЙ ФЕДЕРАЦИИ ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,01-ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ИМ,2015,BM,2208,Л 100% СПИРТА,389.76,68.23,14.88,40000 - ГОРОД САНКТ-ПЕТЕРБУРГ ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,02-СЕВЕРО-ЗАПАДНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ИМ,2015,BM,2208,Л 100% СПИРТА,2465.41,371.3,96,76000 - ЗАБАЙКАЛЬСКИЙ КРАЙ,06-СИБИРСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ИМ,2015,BM,2208,Л 100% СПИРТА,1909.69,237.4,56.6,27000 - КАЛИНИНГРАДСКАЯ ОБЛАСТЬ,02-СЕВЕРО-ЗАПАДНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ИМ,2014,BM,8542,,171.44,0.19,0,29000 - КАЛУЖСКАЯ ОБЛАСТЬ,01-ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
ИМ,2013,BM,8609,ШТ,19323.85,13420,4,44000 - МАГАДАНСКАЯ ОБЛАСТЬ,07-ДАЛЬНЕВОСТОЧНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ
